frequency,raw
231.481934,-2.394
231.81839,-2.394
232.154846,-2.394
232.491302,-2.394
232.827759,-2.393
233.164215,-2.393
233.500671,-2.392
233.837128,-2.391
234.173584,-2.39
234.51004,-2.39
234.846497,-2.39
235.182953,-2.389
235.519409,-2.389
235.855865,-2.388
236.192322,-2.386
236.528778,-2.385
236.865234,-2.384
237.201691,-2.384
237.538147,-2.383
237.874603,-2.383
238.21106,-2.382
238.547516,-2.381
238.883972,-2.38
239.220428,-2.379
239.556885,-2.378
239.893341,-2.377
240.229797,-2.376
240.566254,-2.375
240.90271,-2.374
241.239166,-2.372
241.575623,-2.371
241.912079,-2.37
242.248535,-2.368
242.584991,-2.367
242.921448,-2.365
243.257904,-2.362
243.59436,-2.36
243.930817,-2.357
244.267273,-2.353
244.603729,-2.348
244.940186,-2.343
245.276642,-2.336
245.613098,-2.329
245.949554,-2.321
246.286011,-2.314
246.622467,-2.307
246.958923,-2.3
247.29538,-2.292
247.631836,-2.283
247.968292,-2.274
248.304749,-2.264
248.641205,-2.252
248.977661,-2.241
249.314117,-2.229
249.650574,-2.217
249.98703,-2.206
250.323486,-2.194
250.659943,-2.183
250.996399,-2.171
251.332855,-2.159
251.669312,-2.147
252.005768,-2.135
252.342224,-2.124
252.67868,-2.115
253.015137,-2.106
253.351593,-2.098
253.688049,-2.09
254.024506,-2.081
254.360962,-2.071
254.697418,-2.061
255.033875,-2.052
255.370331,-2.043
255.706787,-2.036
256.043243,-2.029
256.3797,-2.023
256.716156,-2.018
257.052612,-2.015
257.389069,-2.012
257.725525,-2.01
258.061981,-2.01
258.398438,-2.01
258.734894,-2.01
259.07135,-2.011
259.407806,-2.011
259.744263,-2.012
260.080719,-2.013
260.417175,-2.014
260.753632,-2.015
261.090088,-2.016
261.426544,-2.016
261.763,-2.015
262.099457,-2.014
262.435913,-2.013
262.772369,-2.011
263.108826,-2.009
263.445282,-2.008
263.781738,-2.007
264.118195,-2.007
264.454651,-2.006
264.791107,-2.005
265.127563,-2.003
265.46402,-2.002
265.800476,-2
266.136932,-1.998
266.473389,-1.996
266.809845,-1.994
267.146301,-1.993
267.482758,-1.994
267.819214,-1.995
268.15567,-1.997
268.492126,-1.998
268.828583,-1.997
269.165039,-1.997
269.501495,-1.996
269.837952,-1.995
270.174408,-1.995
270.510864,-1.995
270.847321,-1.995
271.183777,-1.994
271.520233,-1.992
271.856689,-1.99
272.193146,-1.989
272.529602,-1.988
272.866058,-1.988
273.202515,-1.989
273.538971,-1.989
273.875427,-1.988
274.211884,-1.987
274.54834,-1.986
274.884796,-1.985
275.221252,-1.984
275.557709,-1.983
275.894165,-1.981
276.230621,-1.98
276.567078,-1.979
276.903534,-1.978
277.23999,-1.978
277.576447,-1.977
277.912903,-1.976
278.249359,-1.974
278.585815,-1.971
278.922272,-1.968
279.258728,-1.967
279.595184,-1.966
279.931641,-1.967
280.268097,-1.968
280.604553,-1.969
280.94101,-1.97
281.277466,-1.97
281.613922,-1.97
281.950378,-1.969
282.286835,-1.969
282.623291,-1.969
282.959747,-1.97
283.296204,-1.971
283.63266,-1.972
283.969116,-1.974
284.305573,-1.976
284.642029,-1.977
284.978485,-1.978
285.314941,-1.978
285.651398,-1.977
285.987854,-1.977
286.32431,-1.978
286.660767,-1.978
286.997223,-1.978
287.333679,-1.978
287.670135,-1.977
288.006592,-1.976
288.343048,-1.975
288.679504,-1.973
289.015961,-1.973
289.352417,-1.972
289.688873,-1.97
290.02533,-1.968
290.361786,-1.965
290.698242,-1.963
291.034698,-1.96
291.371155,-1.959
291.707611,-1.957
292.044067,-1.954
292.380524,-1.951
292.71698,-1.948
293.053436,-1.945
293.389893,-1.942
293.726349,-1.939
294.062805,-1.936
294.399261,-1.933
294.735718,-1.93
295.072174,-1.925
295.40863,-1.92
295.745087,-1.915
296.081543,-1.91
296.417999,-1.906
296.754456,-1.903
297.090912,-1.899
297.427368,-1.895
297.763824,-1.89
298.100281,-1.885
298.436737,-1.88
298.773193,-1.875
299.10965,-1.871
299.446106,-1.867
299.782562,-1.863
300.119019,-1.858
300.455475,-1.851
300.791931,-1.844
301.128387,-1.837
301.464844,-1.831
301.8013,-1.825
302.137756,-1.82
302.474213,-1.815
302.810669,-1.81
303.147125,-1.804
303.483582,-1.797
303.820038,-1.791
304.156494,-1.785
304.49295,-1.78
304.829407,-1.775
305.165863,-1.769
305.502319,-1.763
305.838776,-1.758
306.175232,-1.752
306.511688,-1.746
306.848145,-1.741
307.184601,-1.736
307.521057,-1.731
307.857513,-1.726
308.19397,-1.722
308.530426,-1.717
308.866882,-1.713
309.203339,-1.708
309.539795,-1.703
309.876251,-1.699
310.212708,-1.694
310.549164,-1.689
310.88562,-1.684
311.222076,-1.679
311.558533,-1.674
311.894989,-1.67
312.231445,-1.665
312.567902,-1.661
312.904358,-1.658
313.240814,-1.654
313.577271,-1.651
313.913727,-1.647
314.250183,-1.643
314.586639,-1.639
314.923096,-1.635
315.259552,-1.631
315.596008,-1.627
315.932465,-1.624
316.268921,-1.621
316.605377,-1.618
316.941833,-1.614
317.27829,-1.61
317.614746,-1.606
317.951202,-1.603
318.287659,-1.602
318.624115,-1.601
318.960571,-1.6
319.297028,-1.598
319.633484,-1.595
319.96994,-1.59
320.306396,-1.585
320.642853,-1.58
320.979309,-1.577
321.315765,-1.574
321.652222,-1.572
321.988678,-1.569
322.325134,-1.564
322.661591,-1.559
322.998047,-1.554
323.334503,-1.549
323.670959,-1.545
324.007416,-1.541
324.343872,-1.538
324.680328,-1.534
325.016785,-1.53
325.353241,-1.526
325.689697,-1.522
326.026154,-1.518
326.36261,-1.514
326.699066,-1.509
327.035522,-1.503
327.371979,-1.498
327.708435,-1.492
328.044891,-1.486
328.381348,-1.482
328.717804,-1.478
329.05426,-1.474
329.390717,-1.471
329.727173,-1.467
330.063629,-1.463
330.400085,-1.458
330.736542,-1.453
331.072998,-1.449
331.409454,-1.445
331.745911,-1.442
332.082367,-1.439
332.418823,-1.435
332.75528,-1.431
333.091736,-1.425
333.428192,-1.42
333.764648,-1.414
334.101105,-1.41
334.437561,-1.406
334.774017,-1.402
335.110474,-1.397
335.44693,-1.392
335.783386,-1.386
336.119843,-1.38
336.456299,-1.375
336.792755,-1.371
337.129211,-1.368
337.465668,-1.364
337.802124,-1.361
338.13858,-1.357
338.475037,-1.352
338.811493,-1.348
339.147949,-1.345
339.484406,-1.341
339.820862,-1.337
340.157318,-1.333
340.493774,-1.329
340.830231,-1.326
341.166687,-1.324
341.503143,-1.322
341.8396,-1.319
342.176056,-1.316
342.512512,-1.312
342.848969,-1.308
343.185425,-1.304
343.521881,-1.3
343.858337,-1.298
344.194794,-1.295
344.53125,-1.292
344.867706,-1.287
345.204163,-1.283
345.540619,-1.279
345.877075,-1.275
346.213531,-1.272
346.549988,-1.27
346.886444,-1.267
347.2229,-1.264
347.559357,-1.26
347.895813,-1.257
348.232269,-1.253
348.568726,-1.25
348.905182,-1.248
349.241638,-1.245
349.578094,-1.242
349.914551,-1.238
350.251007,-1.235
350.587463,-1.231
350.92392,-1.229
351.260376,-1.227
351.596832,-1.224
351.933289,-1.221
352.269745,-1.218
352.606201,-1.214
352.942657,-1.21
353.279114,-1.207
353.61557,-1.204
353.952026,-1.202
354.288483,-1.2
354.624939,-1.197
354.961395,-1.193
355.297852,-1.19
355.634308,-1.186
355.970764,-1.184
356.30722,-1.181
356.643677,-1.179
356.980133,-1.175
357.316589,-1.172
357.653046,-1.169
357.989502,-1.167
358.325958,-1.166
358.662415,-1.165
358.998871,-1.164
359.335327,-1.16
359.671783,-1.154
360.00824,-1.148
360.344696,-1.143
360.681152,-1.14
361.017609,-1.139
361.354065,-1.138
361.690521,-1.137
362.026978,-1.133
362.363434,-1.128
362.69989,-1.123
363.036346,-1.12
363.372803,-1.118
363.709259,-1.116
364.045715,-1.114
364.382172,-1.111
364.718628,-1.107
365.055084,-1.102
365.391541,-1.098
365.727997,-1.096
366.064453,-1.093
366.400909,-1.091
366.737366,-1.089
367.073822,-1.086
367.410278,-1.083
367.746735,-1.081
368.083191,-1.08
368.419647,-1.079
368.756104,-1.077
369.09256,-1.074
369.429016,-1.07
369.765472,-1.066
370.101929,-1.063
370.438385,-1.061
370.774841,-1.061
371.111298,-1.06
371.447754,-1.06
371.78421,-1.058
372.120667,-1.056
372.457123,-1.052
372.793579,-1.049
373.130035,-1.045
373.466492,-1.041
373.802948,-1.038
374.139404,-1.037
374.475861,-1.036
374.812317,-1.036
375.148773,-1.036
375.485229,-1.036
375.821686,-1.034
376.158142,-1.032
376.494598,-1.029
376.831055,-1.025
377.167511,-1.022
377.503967,-1.02
377.840424,-1.019
378.17688,-1.019
378.513336,-1.019
378.849792,-1.019
379.186249,-1.018
379.522705,-1.017
379.859161,-1.015
380.195618,-1.013
380.532074,-1.012
380.86853,-1.012
381.204987,-1.013
381.541443,-1.015
381.877899,-1.016
382.214355,-1.017
382.550812,-1.017
382.887268,-1.016
383.223724,-1.015
383.560181,-1.015
383.896637,-1.014
384.233093,-1.015
384.56955,-1.015
384.906006,-1.016
385.242462,-1.018
385.578918,-1.019
385.915375,-1.021
386.251831,-1.022
386.588287,-1.024
386.924744,-1.025
387.2612,-1.026
387.597656,-1.026
387.934113,-1.026
388.270569,-1.026
388.607025,-1.026
388.943481,-1.027
389.279938,-1.029
389.616394,-1.031
389.95285,-1.033
390.289307,-1.035
390.625763,-1.036
390.962219,-1.036
391.298676,-1.036
391.635132,-1.037
391.971588,-1.037
392.308044,-1.038
392.644501,-1.038
392.980957,-1.038
393.317413,-1.038
393.65387,-1.039
393.990326,-1.04
394.326782,-1.04
394.663239,-1.04
394.999695,-1.038
395.336151,-1.035
395.672607,-1.033
396.009064,-1.032
396.34552,-1.032
396.681976,-1.032
397.018433,-1.033
397.354889,-1.032
397.691345,-1.029
398.027802,-1.025
398.364258,-1.022
398.700714,-1.02
399.03717,-1.02
399.373627,-1.021
399.710083,-1.022
400.046539,-1.021
400.382996,-1.018
400.719452,-1.015
401.055908,-1.011
401.392365,-1.007
401.728821,-1.005
402.065277,-1.004
402.401733,-1.003
402.73819,-1.004
403.074646,-1.003
403.411102,-1.002
403.747559,-0.999
404.084015,-0.995
404.420471,-0.991
404.756927,-0.987
405.093384,-0.985
405.42984,-0.984
405.766296,-0.983
406.102753,-0.982
406.439209,-0.98
406.775665,-0.977
407.112122,-0.974
407.448578,-0.972
407.785034,-0.97
408.12149,-0.969
408.457947,-0.968
408.794403,-0.966
409.130859,-0.963
409.467316,-0.96
409.803772,-0.957
410.140228,-0.954
410.476685,-0.951
410.813141,-0.947
411.149597,-0.944
411.486053,-0.941
411.82251,-0.939
412.158966,-0.937
412.495422,-0.936
412.831879,-0.934
413.168335,-0.932
413.504791,-0.928
413.841248,-0.924
414.177704,-0.921
414.51416,-0.918
414.850616,-0.917
415.187073,-0.915
415.523529,-0.913
415.859985,-0.91
416.196442,-0.908
416.532898,-0.905
416.869354,-0.904
417.205811,-0.904
417.542267,-0.903
417.878723,-0.901
418.215179,-0.898
418.551636,-0.894
418.888092,-0.89
419.224548,-0.885
419.561005,-0.881
419.897461,-0.878
420.233917,-0.874
420.570374,-0.871
420.90683,-0.868
421.243286,-0.864
421.579742,-0.862
421.916199,-0.859
422.252655,-0.855
422.589111,-0.851
422.925568,-0.846
423.262024,-0.841
423.59848,-0.837
423.934937,-0.833
424.271393,-0.83
424.607849,-0.828
424.944305,-0.825
425.280762,-0.823
425.617218,-0.82
425.953674,-0.817
426.290131,-0.814
426.626587,-0.811
426.963043,-0.807
427.2995,-0.804
427.635956,-0.802
427.972412,-0.799
428.308868,-0.796
428.645325,-0.794
428.981781,-0.791
429.318237,-0.788
429.654694,-0.786
429.99115,-0.784
430.327606,-0.781
430.664062,-0.778
431.000519,-0.775
431.336975,-0.772
431.673431,-0.77
432.009888,-0.767
432.346344,-0.765
432.6828,-0.764
433.019257,-0.761
433.355713,-0.759
433.692169,-0.755
434.028625,-0.752
434.365082,-0.749
434.701538,-0.747
435.037994,-0.745
435.374451,-0.744
435.710907,-0.742
436.047363,-0.74
436.38382,-0.737
436.720276,-0.733
437.056732,-0.73
437.393188,-0.728
437.729645,-0.726
438.066101,-0.725
438.402557,-0.724
438.739014,-0.722
439.07547,-0.718
439.411926,-0.715
439.748383,-0.712
440.084839,-0.709
440.421295,-0.708
440.757751,-0.706
441.094208,-0.704
441.430664,-0.702
441.76712,-0.699
442.103577,-0.696
442.440033,-0.693
442.776489,-0.692
443.112946,-0.691
443.449402,-0.69
443.785858,-0.688
444.122314,-0.687
444.458771,-0.685
444.795227,-0.684
445.131683,-0.683
445.46814,-0.681
445.804596,-0.679
446.141052,-0.676
446.477509,-0.672
446.813965,-0.669
447.150421,-0.667
447.486877,-0.664
447.823334,-0.662
